Machines,Qty Sold,Sales
Bintaro xrink - machine 1,1230,16971500
Bintaro xrink - machine 2,889,13459500
SOSRO BALI 5,1054,9022000
HOTEL MERCURE,883,8666000
HOTEL PARK HYATT,824,7363500
RS UI LOBBY,732,6647500
Sport Club Alam Sutera,590,6252000
ST REGIST 2,665,6198500
RS UI IGD,650,6197000
SMA AL AZHAR 1,690,5946500
ST REGIST 1,597,5487500
ALCAMART 2,594,5044000
NINE RESIDENCE,560,4994000
SMA AL AZHAR 2,525,4912000
PACIFIC GARDEN SQUARE,544,4656033
RSCM 2,468,4387000
RS UI LT 5,472,4041400
MBLOC 1,535,3964000
KLINIK LALITA BEKASI,421,3763500
RS DINDA,471,3678500
SMK TELKOM,455,3664000
RSCM 4,410,3625000
RS JAKARTA 2,432,3580500
KENGSINGTON OFFICE TOWER,399,3544500
LABSCHOOL 2,369,3449000
RSCM 3,335,3234500
RS UI FARMASI,360,3209500
NEO SOHO,360,3206500
PT SINERGI,355,3113400
LABSCHOOL 1,354,3079017
JHL SOLITAIRE,323,3021500
OATSIDE,123,3010000
UNIPREP PONDOK INDAH,344,2957500
PT ECOTECH,30,2885400
HOTEL HILTON,312,2881500
AKULAKU,310,2813500
PT TIMERINDO,343,2726500
LIPPO TOWER HOLLAND 2,292,2708800
SAMPOERNA UNIVERSITY - Lantai 19,219,2659000
GRIYA PATRIA GUEST HOUSE,308,2655500
SMART HAPPY KIDS,292,2646000
PT KOKIKIT,94,2601900
PULOMAS 4,294,2601000
HALIM,351,2551000
GUNADARMA 2,281,2433000
HOTEL 101,281,2391500
LION VILLAGE 2,286,2388500
ALCAMART,261,2313000
PUTRA PERKASA ABADI 1,306,2291000
AXA KUNINGAN 2,273,2158500
GRAHA ELNUSA,262,2144500
LIPPO TOWER HOLLAND,249,2121500
Hotel Hermitage,222,2048000
ROYAL ENFIELD ANTASARI,236,2010800
RS JAKARTA 3,232,1959500
ARWANA CITRA,240,1924200
LION VILLAGE 1,214,1880300
RSIA PRATIWI,224,1846400
HOTEL WYNDHAM,200,1839000
SOLITUDE DAGO,133,1797800
PULOMAS 1,204,1774400
CV JAYA ABADI 3,209,1747500
BNI RAWAMANGUN,193,1725000
ALCAMART 3,189,1666496
BAKRIE AND BROTHER LT 27,191,1653500
HOTEL KEMPINSKI 1,188,1644000
AYO ARENA,311,1644000
MBLOC 2,224,1619000
INDOCEMENT 7,193,1612500
SAMPOERNA UNIVERSITY - Lantai 7,138,1603500
UNIVERSITAS PANCASILA,191,1576000
PT BASF,183,1472500
PT MATRA RODA PIRANTI 1,167,1470000
PULOMAS 2,163,1448999
PUTRA PERKASA ABADI 2,203,1437000
ASURANSI JIWA AL AMIN,177,1420100
REGAL STUDIO,163,1405500
MASJID AL AZHAR BEKASI 1,163,1393500
STIE Bina Sarana Global,157,1390500
PT MATRA RODA PIRANTI 3,162,1372700
ARGAPURA 2,164,1356400
PADINA SOHO,166,1318500
HONDA MT HARYONO,166,1282400
AXA KUNINGAN 1,159,1275700
DIGNITAS ACADEMY,165,1267000
SOSRO RS CAROLUS,260,1257000
PT YIFANG 1,143,1249200
SEKOLAH FAJAR,133,1211000
SAMSUNG KUNINGAN 2,129,1153000
SMP AL AZHAR KEMANG PRATAMA BEKASI,143,1140600
PT TOA COATING 1,144,1131000
CLUSTER ATHALIA 1,123,1114000
PT MATRA RODA PIRANTI 2,138,1036980
LIPPO TOWER HOLLAND 3,129,1011400
INDOCEMENT,118,975000
MANULIFE KUNINGAN 2,113,963500
SD AL AZHAR KEMANG PRATAMA BEKASI,117,931500
PT INDOCEMENT 9 (GEDUNG GMO),113,914500
UNIPREP KELAPA GADING,97,841600
PT BAKER&HUGHES,87,823500
INDOCEMENT 8,107,802000
YADIKA 1,105,779500
INDOCEMENT 5,95,752500
SOSRO RS CAROLUS 2,153,740000
UNIPREP BSD 1,86,733000
MANULIFE KUNINGAN 1,92,732500
YADIKA 2,93,724499
KOST PERMATA 20,76,679800
INDOCEMENT 3,89,675500
INDOCEMENT 10,76,675500
UNIV BAKRIE 1,96,667500
WISMA MEGAH,73,657000
PT YIFANG 2,68,600500
CLUSTER ATHALIA 2,68,597000
UNIVERSAL LUGAGE 2,69,585500
CLUSTER BLUERIVER 2,67,573000
AXA 4,51,562000
COCENTRIX 3,70,536000
SAMSUNG KUNINGAN 1,60,521000
TK AL AZHAR 11,68,519000
UNIV BAKRIE 3,67,508000
AXA KUNINGAN 3,59,508000
MASJID AT TAIBIN,61,469000
INDOCEMENT 2,57,407000
ARGAPURA 1,39,336000
THE LORRY HO,41,333500
PT KARYA JAYA SEJAHTERA,40,325200
PT.Multi Nitrotama Kimia 2-unused,37,324000
CBC GALLERY,38,316500
INDOCEMENT 4,39,312500
UNIPREP BSD 2,37,311000
UNIV BAKRIE 2,35,263700
INDOCEMENT 6,36,255500
PT CCIE (INDOCEMENT 11),32,253500
SEKOLAH BSP,27,236000
CLUSTER LOTUS GARDEN,29,230000
MENARA THAMRIN,23,210000
ALL SEDAYU,25,204000
SEKOLAH AL AZHAR GRAND WISATA BEKASI,24,203000
VISION FORESTA BSD,16,167000
SMP AL AZHAR 9,19,163500
GUNADARMA 1,22,140000
UNIVERSAL LUGAGE 1,12,126000
MONSTERMART,9,85500
