Product,Qty Sold,Sales Revenue,Sales Cost,Gross Profit
ABC Sari Kacang Hijau 250ML,4,28000.0,18000.0,10000.0
AQUA 600ml,648,4495500.0,1309608.0,3185892.0
Astor Double Coklat Kecil 40 GRAM,190,1813000.0,768892.0,1044108.0
AW 250ML,304,2934000.0,1418768.0,1515232.0
AW 330ML,10,98000.0,55000.0,43000.0
BARLEY TEA,2,21600.0,17200.0,4400.0
Beng Beng,18,142000.0,68000.0,74000.0
Beng Beng Maxx,969,6401000.0,2618483.0,3782517.0
black thunder,13,78000.0,27300.0,50700.0
bro tatoz bbq korea,14,98000.0,28000.0,70000.0
bro tatoz rasa rumput laut,50,350000.0,100000.0,250000.0
bro tatoz rendang sapi,24,168000.0,48000.0,120000.0
caffino,47,422000.0,235000.0,187000.0
CDR SACHET,4,40000.0,27600.0,12400.0
Chacha Milk Chocolate,11,165000.0,44000.0,121000.0
CHIKI TWIST,1,11000.0,3900.0,7100.0
CHIKI TWIST 40 GRAM,1,9000.0,3900.0,5100.0
CHIKI twist ayam panggang,12,108000.0,46800.0,61200.0
Chitato Lite Nori 35 gram,1,8000.0,5000.0,3000.0
CIMORY ALMOND,139,1209000.0,764500.0,444500.0
cimory banana,2,15000.0,11000.0,4000.0
CIMORY COKLAT 250ML,763,7784500.0,4196500.0,3588000.0
CIMORY HAZELNUT,8,68000.0,65000.0,3000.0
CIMORY MARIE REGAL,442,4307500.0,2431000.0,1876500.0
CIMORY MATCHA,336,3278000.0,1848000.0,1430000.0
CIMORY STRAWBERY 250ML,267,2618000.0,1468500.0,1149500.0
Coca Cola,4,40000.0,16000.0,24000.0
Coca Cola Botol 390ML,13,89000.0,21520.0,67480.0
Coca cola kaleng 250ml,231,1935000.0,1010625.0,924375.0
Coca Cola Kaleng 330ML,2,16000.0,11000.0,5000.0
CROISANT 60 GRAM,431,3822000.0,1228796.1,2593203.9
DEGIROL,3,61500.0,45000.0,16500.0
DEKA Crepes choco banana,1,15000.0,7000.0,8000.0
Delfi Big Thunder,12,72000.0,36000.0,36000.0
EGG ROLL CHEESE,55,375000.0,159500.0,215500.0
EGG ROLL KOTAK ORIGINAL,1,15000.0,8700.0,6300.0
EGG ROLL STRAWBERRY,167,1148000.0,450900.0,697100.0
ena`o,2,26000.0,14000.0,12000.0
FANTA KALENG 250ML,108,925000.0,472500.0,452500.0
FANTA KALENG 330ML,26,260000.0,143000.0,117000.0
FANTA STRAWBERRY 250ML CAN,3,27000.0,16500.0,10500.0
fire crackers,28,167000.0,56000.0,111000.0
fire crackers sambal mangga,116,592000.0,232000.0,360000.0
french fries 2000,369,2350180.0,373500.0,1976680.0
FRESHCARE,2,26000.0,18400.0,7600.0
Garuda kacang telur,7,77000.0,35000.0,42000.0
GEMEZ CHILY SPICY 30GRAM,16,66500.0,33600.0,32900.0
GENJI ORIGINAL PIE,6,90000.0,54000.0,36000.0
GO POTATO,60,453000.0,35000.0,418000.0
Go potato cheese,140,1284000.0,120000.0,1164000.0
golden sparkling,9,123000.0,30000.0,93000.0
Groovy coffee beer,28,308000.0,196000.0,112000.0
HANSAPLAST BETADINE,3,42000.0,27000.0,15000.0
Hydro Coco,10,100000.0,57000.0,43000.0
Hydro Coco 250ML,819,8606700.1,4770675.0,3836025.0999999996
INACO COCO MELON,55,652000.0,97000.0,555000.0
INACO IM COCO LECI,107,1151600.0,669820.0,481780.0
INACO MINI JELLY AND PUDDING,64,519000.0,418112.0,100888.0
INACO MINI PUDDING,166,887500.0,614200.0,273300.0
indocafe latte goya,6,58000.0,10000.0,48000.0
indocafe latte mandehling,2,16000.0,12000.0,4000.0
ITO EN OLONG,28,345800.0,67000.0,278800.0
iyes mix,68,378000.0,136000.0,242000.0
JAPOTA SEAWEED,17,130000.0,85000.0,45000.0
JAVACOFFE MOCHA,2,26000.0,6000.0,20000.0
Kacang Mayasi,130,696000.0,260000.0,436000.0
Kinder Bueno,2,40000.0,23200.0,16800.0
kinder bueno 43 g,30,600000.0,90000.0,510000.0
Kopiko Lucky Day 180 ML,462,4248000.0,2310000.0,1938000.0
KRIZZI,13,106000.0,5000.0,101000.0
KRIZZI COKLAT,138,1170000.1,653706.0,516294.1000000001
KUSUKA AYAM MADU,439,2549000.0,753763.0,1795237.0
KUSUKA KRIPIK EMPING,8,92000.0,56000.0,36000.0
KUSUKA TOPPING BALADO,1,14000.0,6500.0,7500.0
LARUTAN CAP KAKI TIGA JAMBU BIJI,27,230000.0,153900.0,76100.0
LARUTAN CAP KAKI TIGA JERUK,4,34000.0,22700.0,11300.0
LARUTAN CAP KAKI TIGA LECI,366,3404400.0,2086200.0,1318200.0
lasegar jeruk,5,48000.0,15000.0,33000.0
Lasegar leci lemon,150,1410000.0,772500.0,637500.0
LASEGAR LEMON,91,850000.0,468650.0,381350.0
LAURIER ISI 8,2,18000.0,10200.0,7800.0
Le Mineral 600ML,1411,9396000.0,2649634.5,6746365.5
LE MINERALE 2,348,2234000.0,1374500.0,859500.0
MASKER KN95,8,76000.0,52000.0,24000.0
MAXTEA MILKTEA,2,15500.0,11400.0,4100.0
mayasi paw,155,954000.0,310000.0,644000.0
MIE SEDAAP AYAM JERIT,4,43000.0,20000.0,23000.0
MIE SEDAAP SELECTION KOREAN SPICY,172,1643000.0,734612.0,908388.0
Mie Sedaap Soto,279,2695000.2,1191609.0,1503391.2000000002
MIE SEDAP CUP GORENG,339,3205000.0,1447869.0,1757131.0
MIE SEDAP CUP KARI AYAM SPESIAL,226,2183000.0,965246.0,1217754.0
MIE SEDAP CUP RAWIT BINGIT,256,2410500.0,1093376.0,1317124.0
MILKIS ORIGINAL,6,72000.0,60000.0,12000.0
MILKU COKLAT 200ML,205,1073000.0,508400.0,564600.0
MILKU STRAWBERRY,182,984000.0,451360.0,532640.0
MILO CALSIUM KALENG 240 ML,25,348000.0,206400.0,141600.0
milo nuggets 25 g,14,280000.0,90000.0,190000.0
MILO ORIGINAL 220ML,528,7433800.0,966000.0,6467800.0
MINYAK KAYU PUTIH,2,38000.0,30000.0,8000.0
MONDE EGG ROLL CHOCOLATE,223,1475000.0,448230.0,1026770.0
MONDE PIE MINI,73,752400.0,210000.0,542400.0
MONDE SERENA SNACK 25 GRAM,461,2769000.0,719299.9,2049700.1
Nescafe CappuccIno 240 ML,349,4307600.0,1856680.0,2450920.0
NESCAFE ICE BLACK,322,3914800.0,1713040.0,2201760.0
Nescafe Latte 240 ML,501,6243400.0,949158.5,5294241.5
Nextar,49,482000.0,98000.0,384000.0
OATSIDE COFFEE,17,189000.0,70000.0,119000.0
OATSIDE COKLAT,14,168000.0,84000.0,84000.0
Oi Ocha Green Tea 300 ml,50,496000.0,59500.0,436500.0
OISHI RASA UDANG,2,20000.0,11400.0,8600.0
PANDA BIRD NEST,1,9000.0,5700.0,3300.0
PANDA CINCAU JELLY,59,571000.0,106900.9,464099.1
Panda Grass Jely dan Selasih 350ML,18,159000.0,31200.7,127799.3
Panda Liang teh 350ML,2,18000.0,11400.0,6600.0
Pejoy stik coklat,2,22000.0,15200.0,6800.0
Piattos 35GRAM,19,133000.0,74100.0,58900.0
Piattos rasa sapi panggang,22,198000.0,85800.0,112200.0
POCARI SWEAT 350ML,841,7933000.0,4709600.0,3223400.0
POCARI SWEAT KALENG/CAN 330ML,49,476000.0,269500.0,206500.0
POKKA LEMON TEA,235,2193000.0,1156200.0,1036800.0
POKKA LYCHEE TEA,351,3243000.0,1726920.0,1516080.0
Pop Mie Gledek,36,354000.0,160000.0,194000.0
Pop Mie Goreng Spesial,1,8000.0,5000.0,3000.0
pop mie tori miso,45,450000.0,225000.0,225000.0
POTABEE AYAM BAKAR,20,150000.0,24500.0,125500.0
POTABEE BARBEQUE 35gr,37,291000.0,91545.5,199454.5
POTABEE RUMPUT LAUT,14,99000.0,14400.0,84600.0
POTAKREZ sapi panggang,140,731000.0,280000.0,451000.0
POTATO CHIP 50G,139,2529000.0,898001.6,1630998.4
potato q korean bbq,3,16000.0,6000.0,10000.0
potato q rasa rumput laut,76,400000.0,152000.0,248000.0
potato q rasa sosis meksiko,110,578000.0,220000.0,358000.0
PRINGLES ORIGINAL,8,160000.0,68000.0,92000.0
pringles original 42g,17,340000.0,40000.0,300000.0
PRINGLESS SOUR ONION 42 GRAM,1,20000.0,10000.0,10000.0
PROMAG,1,15500.0,9500.0,6000.0
Pulpy Orange 300ML,299,2182217.0,1083875.0,1098342.0
QTELA TEMPE CABAI RAWIT,3,33000.0,20700.0,12300.0
QTELA TEMPE ORIGINAL,12,132000.0,72000.0,60000.0
SALONPAS ISI 10,4,44000.0,28000.0,16000.0
Sedap selection cup,37,351500.0,85000.0,266500.0
SIKAT GIGI DAN ODOL,1,7000.0,5000.0,2000.0
silverqueen bites 30 g,13,260000.0,80000.0,180000.0
SOFTEX ISI 8,6,51000.0,33000.0,18000.0
Spix mi goreng,455,2880000.0,1274455.0,1605545.0
SPRITE 250ML CAN,8,76000.0,35000.0,41000.0
SPRITE BOTOL 390ML,38,297000.0,63760.0,233240.0
SPRITE KALENG 250ML,141,1149000.0,616875.0,532125.0
SUKRO OVEN 25 GRAM,506,2779000.0,688431.2,2090568.8
SUNKIST LEMON C,78,591500.0,292500.0,299000.0
sunkist water orange,69,602500.0,258750.0,343750.0
TARO COWBOY STEAK,2,20000.0,7800.0,12200.0
TARO potato barbecue,10,96000.0,42000.0,54000.0
Teh Pucuk 350ML,1031,6727200.5,2533167.0,4194033.5
TEH SEJUK,401,2532000.0,842100.0,1689900.0
Tic tic rasa bawang asli,77,633000.0,40000.0,593000.0
Tik Tak Original 90 GRAM,119,1025800.0,595119.0,430681.0
Tik Tak Sapi Panggang 90 GRAM,134,1159000.0,670134.0,488866.0
TOLAK ANGIN,7,49000.0,31500.0,17500.0
TWISTKO,255,2405000.0,714000.0,1691000.0
VITAMIN C,3,24000.0,15000.0,9000.0
WALENS BLUEBERRY SOES,188,2750000.0,338400.0,2411600.0
WALLENS CHOCOSHOES,273,3845800.0,2102100.0,1743700.0
yeos minuman sari kedelai,22,242000.0,121000.0,121000.0
yoritos,202,1216000.0,404000.0,812000.0
YOU C1000 orange water 500ML,751,9380900.0,4731300.0,4649600.0
YOUVIT KAFE G,5,70000.0,39000.1,30999.9
YOUVIT MULTIVITAMIN ADULT,1,10000.0,12000.0,-2000.0
